preference_strength,genre_only_hit_rate,genre_only_audio_similarity,artist_only_hit_rate,artist_only_audio_similarity,combined_genre_hit_rate,combined_artist_hit_rate,combined_exact_hit_rate,combined_audio_similarity
0.0,0.0,0.924,0.0,0.924,0.0,0.0,0.0,0.924
0.25,0.03333333333333333,0.9259,0.0,0.9245333333333333,0.0,0.0,0.0,0.9245333333333333
0.5,0.36666666666666664,0.9319000000000001,0.06666666666666667,0.9269333333333333,0.1,0.03333333333333333,0.03333333333333333,0.9289666666666666
0.75,0.8666666666666667,0.9039666666666667,0.3333333333333333,0.9218333333333333,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.9370666666666667
1.0,1.0,0.8947,0.5666666666666667,0.9003,0.8666666666666667,0.3,0.3,0.8955
